id,design_id,version,trigger,file_path,created_at
1,1002,1,texture_fix,r2://designs/1002/v1.png,2026-02-11T07:37:00+00:00
2,1002,2,optimizer_edit,r2://designs/1002/v2.png,2026-02-11T08:37:00+00:00
3,1002,3,initial,r2://designs/1002/v3.png,2026-02-11T09:37:00+00:00
4,1002,4,bg_removal_retry,r2://designs/1002/v4.png,2026-02-11T10:37:00+00:00
5,1003,1,qa_retry,r2://designs/1003/v1.png,2026-01-05T23:12:00+00:00
6,1003,2,texture_fix,r2://designs/1003/v2.png,2026/01/06 00:12
7,1004,1,bg_removal_retry,r2://designs/1004/v1.png,2026-04-22T15:06:00+00:00
8,1004,2,texture_fix,r2://designs/1004/v2.png,2026-04-22T16:06:00+00:00
9,1004,3,qa_retry,r2://designs/1004/v3.png,2026-04-22T17:06:00+00:00
10,1005,1,bg_removal_retry,r2://designs/1005/v1.png,2026-03-05T09:43:00+00:00
11,1005,2,qa_retry,r2://designs/1005/v2.png,2026-03-05T10:43:00+00:00
12,1005,3,texture_fix,r2://designs/1005/v3.png,2026-03-05T11:43:00+00:00
13,1007,1,initial,r2://designs/1007/v1.png,2026-01-06T22:14:00+00:00
14,1007,2,bg_removal_retry,r2://designs/1007/v2.png,2026-01-06T23:14:00+00:00
15,1015,1,bg_removal_retry,r2://designs/1015/v1.png,2026-03-23T17:14:00+00:00
16,1015,2,initial,r2://designs/1015/v2.png,2026-03-23T18:14:00+00:00
17,1015,3,initial,r2://designs/1015/v3.png,2026-03-23T19:14:00+00:00
18,1015,4,qa_retry,r2://designs/1015/v4.png,2026/03/23 20:14
19,1018,1,initial,r2://designs/1018/v1.png,2026-04-07T17:48:00+00:00
20,1018,2,optimizer_edit,r2://designs/1018/v2.png,2026-04-07T18:48:00+00:00
21,1018,3,initial,r2://designs/1018/v3.png,2026-04-07T19:48:00+00:00
22,1019,1,texture_fix,r2://designs/1019/v1.png,2026-01-05T21:36:00+00:00
23,1019,2,optimizer_edit,r2://designs/1019/v2.png,2026-01-05T22:36:00+00:00
24,1019,3,bg_removal_retry,r2://designs/1019/v3.png,2026-01-05T23:36:00+00:00
25,1024,1,optimizer_edit,r2://designs/1024/v1.png,2026-03-31T04:51:00+00:00
26,1024,2,initial,r2://designs/1024/v2.png,2026-03-31T05:51:00+00:00
27,1025,1,initial,r2://designs/1025/v1.png,2026-01-14T11:13:00+00:00
28,1025,2,qa_retry,r2://designs/1025/v2.png,2026-01-14T12:13:00+00:00
29,1029,1,qa_retry,r2://designs/1029/v1.png,2026-01-20T06:21:00+00:00
30,1029,2,optimizer_edit,r2://designs/1029/v2.png,2026-01-20T07:21:00+00:00
31,1029,3,qa_retry,r2://designs/1029/v3.png,2026-01-20T08:21:00+00:00
32,1029,4,optimizer_edit,r2://designs/1029/v4.png,2026-01-20T09:21:00+00:00
33,1030,1,texture_fix,r2://designs/1030/v1.png,2026-05-23T22:52:00+00:00
34,1030,2,qa_retry,r2://designs/1030/v2.png,2026-05-23T23:52:00+00:00
35,1031,1,bg_removal_retry,r2://designs/1031/v1.png,2026-06-03T06:40:00+00:00
36,1031,2,bg_removal_retry,r2://designs/1031/v2.png,2026-06-03T07:40:00+00:00
37,1032,1,initial,r2://designs/1032/v1.png,2026-02-03T22:56:00+00:00
38,1032,2,optimizer_edit,r2://designs/1032/v2.png,2026-02-03T23:56:00+00:00
39,1032,3,texture_fix,r2://designs/1032/v3.png,2026-02-04T00:56:00+00:00
40,1032,4,initial,r2://designs/1032/v4.png,2026-02-04T01:56:00+00:00
41,1033,1,bg_removal_retry,r2://designs/1033/v1.png,2026-01-16T20:49:00+00:00
42,1033,2,qa_retry,r2://designs/1033/v2.png,2026-01-16T21:49:00+00:00
43,1033,3,qa_retry,r2://designs/1033/v3.png,2026-01-16T22:49:00+00:00
44,1033,4,qa_retry,r2://designs/1033/v4.png,2026-01-16T23:49:00+00:00
45,1034,1,initial,r2://designs/1034/v1.png,2026-01-15T17:01:00+00:00
46,1034,2,optimizer_edit,r2://designs/1034/v2.png,2026-01-15T18:01:00+00:00
47,1035,1,optimizer_edit,r2://designs/1035/v1.png,2026-03-27T08:09:00+00:00
48,1035,2,bg_removal_retry,r2://designs/1035/v2.png,2026-03-27T09:09:00+00:00
49,1035,3,bg_removal_retry,r2://designs/1035/v3.png,2026/03/27 10:09
50,1037,1,optimizer_edit,r2://designs/1037/v1.png,2026-02-21T09:11:00+00:00
51,1037,2,qa_retry,r2://designs/1037/v2.png,2026-02-21T10:11:00+00:00
52,1037,3,bg_removal_retry,r2://designs/1037/v3.png,2026-02-21T11:11:00+00:00
53,1038,1,optimizer_edit,r2://designs/1038/v1.png,2026-01-11T14:24:00+00:00
54,1038,2,initial,r2://designs/1038/v2.png,2026-01-11T15:24:00+00:00
55,1039,1,bg_removal_retry,r2://designs/1039/v1.png,2026/05/27 14:21
56,1039,2,optimizer_edit,r2://designs/1039/v2.png,2026-05-27T15:21:00+00:00
57,1040,1,texture_fix,r2://designs/1040/v1.png,2026-01-30T12:35:00+00:00
58,1040,2,qa_retry,r2://designs/1040/v2.png,2026-01-30T13:35:00+00:00
59,1040,3,initial,r2://designs/1040/v3.png,2026-01-30T14:35:00+00:00
60,1040,4,qa_retry,r2://designs/1040/v4.png,2026-01-30T15:35:00+00:00
61,1042,1,initial,r2://designs/1042/v1.png,2026-03-16T04:59:00+00:00
62,1042,2,initial,r2://designs/1042/v2.png,2026/03/16 05:59
63,1042,3,initial,r2://designs/1042/v3.png,2026-03-16T06:59:00+00:00
64,1042,4,initial,r2://designs/1042/v4.png,2026-03-16T07:59:00+00:00
65,1043,1,qa_retry,r2://designs/1043/v1.png,2026-05-20T18:04:00+00:00
66,1043,2,initial,r2://designs/1043/v2.png,2026/05/20 19:04
67,1043,3,initial,r2://designs/1043/v3.png,2026-05-20T20:04:00+00:00
68,1043,4,optimizer_edit,r2://designs/1043/v4.png,2026-05-20T21:04:00+00:00
69,1044,1,qa_retry,r2://designs/1044/v1.png,2026-03-12T11:36:00+00:00
70,1044,2,qa_retry,r2://designs/1044/v2.png,2026-03-12T12:36:00+00:00
71,1044,3,texture_fix,r2://designs/1044/v3.png,2026-03-12T13:36:00+00:00
72,1044,4,bg_removal_retry,r2://designs/1044/v4.png,2026-03-12T14:36:00+00:00
